#separator:Tab
#html:true
#columns:ID	Front	Back	Tags
#tags column:4
atomic-habits::fit-right-game::concept::01	What does the book mean by “Choose the Right Game” and why does it matter?	<b>Answer</b><br>Definition: Choosing the right game means finding an environment where strengths, interests, constraints, and task demands make effort more likely to pay off. Why it matters: Fit can make practice more rewarding and sustainable without turning talent into destiny. Mechanism: Natural variation influences which environments reward effort; experimentation reveals where learning speed, persistence, and feedback are strongest. Use it when deciding where to invest practice or when effort in the current field repeatedly produces unnecessary struggle. Apply it by Run low-cost trials, compare learning and persistence, choose a promising niche, and keep practicing rather than treating fit as an excuse.<br><br><b>Re-teach</b><br>Fit can make practice more rewarding and sustainable without turning talent into destiny. Natural variation influences which environments reward effort; experimentation reveals where learning speed, persistence, and feedback are strongest.<br><br><b>Example</b><br>The Phelps and El Guerrouj comparison shows that elite performance can fit different bodies and events.<br><br><b>Remember</b><br>Fit guides where to work hard; it does not replace deliberate practice.<br><br><b>Connections</b><br>Related ideas: deliberate-practice, goldilocks-rule.<br><br><span class="source">Source</span><br>Chapter 18 — The Truth About Talent (When Genes Matter and When They Don’t) (ch18)	atomic-habits atomic-habits::ch18 atomic-habits::concept::fit-right-game atomic-habits::type::concept atomic-habits::tier::important
atomic-habits::four-laws::concept::01	What does the book mean by “Four Laws of Behavior Change” and why does it matter?	<b>Answer</b><br>The Four Laws are four separate levers for building a desired habit: 1) Make it obvious—create a cue that is visible and specific; 2) Make it attractive—connect the behavior to an anticipated benefit or a social norm; 3) Make it easy—reduce the steps and effort required for the response; 4) Make it satisfying—provide immediate feedback that teaches repetition. To weaken an unwanted habit, invert the same levers: make the cue invisible, the outcome unattractive, the response difficult, and the consequence unsatisfying.<br><br><b>Re-teach</b><br>The laws separate visibility, motivation, effort, and repetition so a plan can target the observed bottleneck. The first three laws increase the chance of starting now, while satisfaction supplies feedback that increases the chance of repeating later.<br><br><b>Example</b><br>The book’s central model moves from an obvious cue to an attractive craving, an easy response, and a satisfying reward.<br><br><b>Remember</b><br>For bad habits, invert the same laws: make the cue invisible, outcome unattractive, response difficult, and consequence unsatisfying.<br><br><b>Connections</b><br>Related ideas: habit-loop, environment-design.<br><br><span class="source">Source</span><br>Chapter 3 — How to Build Better Habits in 4 Simple Steps (ch03)	atomic-habits atomic-habits::ch03 atomic-habits::concept::four-laws atomic-habits::type::concept atomic-habits::tier::core
atomic-habits::four-laws::mechanism::01	Why does “Four Laws of Behavior Change” work in the book’s model?	<b>Answer</b><br>The Four Laws are four separate levers for building a desired habit: 1) Make it obvious—create a cue that is visible and specific; 2) Make it attractive—connect the behavior to an anticipated benefit or a social norm; 3) Make it easy—reduce the steps and effort required for the response; 4) Make it satisfying—provide immediate feedback that teaches repetition. To weaken an unwanted habit, invert the same levers: make the cue invisible, the outcome unattractive, the response difficult, and the consequence unsatisfying.<br><br><b>Re-teach</b><br>The laws separate visibility, motivation, effort, and repetition so a plan can target the observed bottleneck. Use it when a habit is not starting or not repeating and you need a structured diagnosis. Applying every law mechanically can add complexity when one targeted change would solve the bottleneck.<br><br><b>Example</b><br>The book’s central model moves from an obvious cue to an attractive craving, an easy response, and a satisfying reward.<br><br><b>Remember</b><br>For bad habits, invert the same laws: make the cue invisible, outcome unattractive, response difficult, and consequence unsatisfying.<br><br><b>Connections</b><br>Related ideas: habit-loop, environment-design.<br><br><span class="source">Source</span><br>Chapter 3 — How to Build Better Habits in 4 Simple Steps (ch03)	atomic-habits atomic-habits::ch03 atomic-habits::concept::four-laws atomic-habits::type::mechanism atomic-habits::tier::core
atomic-habits::goldilocks-rule::concept::01	What does the book mean by “Goldilocks Rule” and why does it matter?	<b>Answer</b><br>Definition: The Goldilocks Rule says motivation is often strongest when a challenge is just beyond current ability. Why it matters: The task needs enough difficulty to demand attention but enough progress to preserve the expectation of reward. Mechanism: Too-easy work loses novelty; too-hard work produces repeated failure; the useful zone shifts as ability improves. Use it when a routine has become boring or discouraging even though the underlying habit remains valuable. Apply it by Stabilise attendance, change one difficulty variable in a small increment, and use feedback to keep frequent wins possible.<br><br><b>Re-teach</b><br>The task needs enough difficulty to demand attention but enough progress to preserve the expectation of reward. Too-easy work loses novelty; too-hard work produces repeated failure; the useful zone shifts as ability improves.<br><br><b>Example</b><br>Steve Martin’s repeated testing and refinement of new material illustrates persistence after novelty fades.<br><br><b>Remember</b><br>Keep a stable minimum and cue while varying the challenge of the full practice.<br><br><b>Connections</b><br>Related ideas: deliberate-practice, two-minute-rule.<br><br><span class="source">Source</span><br>Chapter 19 — The Goldilocks Rule: How to Stay Motivated in Life and Work (ch19)	atomic-habits atomic-habits::ch19 atomic-habits::concept::goldilocks-rule atomic-habits::type::concept atomic-habits::tier::important
atomic-habits::habit-loop::concept::01	What does the book mean by “Cue–Craving–Response–Reward Loop” and why does it matter?	<b>Answer</b><br>The habit loop has four stages: the cue makes an opportunity noticeable; the craving is the anticipated change of state that supplies motivation; the response is the action, constrained by ability and friction; and the reward provides immediate feedback that teaches the brain what to repeat. Mapping all four stages turns a character judgement into a design problem. Use the weakest link to choose the intervention.<br><br><b>Re-teach</b><br>Mapping the loop turns a moral judgement into a design problem with several intervention points. The cue predicts an opportunity, the craving supplies motivation, the response is constrained by ability and friction, and the reward closes the loop.<br><br><b>Example</b><br>The Four Laws map onto the loop: make the cue obvious, craving attractive, response easy, and reward satisfying.<br><br><b>Remember</b><br>Immediate reward is what reinforces the loop first; a delayed outcome may be the reason the person ultimately cares.<br><br><b>Connections</b><br>Related ideas: four-laws, law-least-effort.<br><br><span class="source">Source</span><br>Chapter 3 — How to Build Better Habits in 4 Simple Steps (ch03)	atomic-habits atomic-habits::ch03 atomic-habits::concept::habit-loop atomic-habits::type::concept atomic-habits::tier::core
atomic-habits::habit-loop::mechanism::01	Why does “Cue–Craving–Response–Reward Loop” work in the book’s model?	<b>Answer</b><br>The habit loop has four stages: the cue makes an opportunity noticeable; the craving is the anticipated change of state that supplies motivation; the response is the action, constrained by ability and friction; and the reward provides immediate feedback that teaches the brain what to repeat. Mapping all four stages turns a character judgement into a design problem. Use the weakest link to choose the intervention.<br><br><b>Re-teach</b><br>Mapping the loop turns a moral judgement into a design problem with several intervention points. Use it before prescribing a habit change, especially when the immediate payoff differs from the long-term outcome. Treating the whole behavior as a character trait hides the cue or reward that is actually maintaining it.<br><br><b>Example</b><br>The Four Laws map onto the loop: make the cue obvious, craving attractive, response easy, and reward satisfying.<br><br><b>Remember</b><br>Immediate reward is what reinforces the loop first; a delayed outcome may be the reason the person ultimately cares.<br><br><b>Connections</b><br>Related ideas: four-laws, law-least-effort.<br><br><span class="source">Source</span><br>Chapter 3 — How to Build Better Habits in 4 Simple Steps (ch03)	atomic-habits atomic-habits::ch03 atomic-habits::concept::habit-loop atomic-habits::type::mechanism atomic-habits::tier::core
atomic-habits::habit-stacking::concept::01	What does the book mean by “Habit Stacking” and why does it matter?	<b>Answer</b><br>Definition: Habit stacking attaches a new behavior to an existing habit: “After [current habit], I will [new behavior].” Why it matters: The existing routine supplies a repeated cue without requiring a new time signal. Mechanism: A reliable current habit becomes an anchor, so the new response is cued by an action that already happens. Use it when an existing routine is more dependable than a clock or isolated reminder. Apply it by Choose a stable anchor and add a small, observable response that will not overload the sequence.<br><br><b>Re-teach</b><br>The existing routine supplies a repeated cue without requiring a new time signal. A reliable current habit becomes an anchor, so the new response is cued by an action that already happens.<br><br><b>Example</b><br>The formula “After [current habit], I will [new behavior]” makes the link explicit.<br><br><b>Remember</b><br>Habit stacking uses an existing behavior as the cue; implementation intention uses time and place.<br><br><b>Connections</b><br>Related ideas: implementation-intention, cues.<br><br><span class="source">Source</span><br>Chapter 5 — The Best Way to Start a New Habit (ch05)	atomic-habits atomic-habits::ch05 atomic-habits::concept::habit-stacking atomic-habits::type::concept atomic-habits::tier::core
atomic-habits::habit-stacking::mechanism::01	Why does “Habit Stacking” work in the book’s model?	<b>Answer</b><br>Mechanism: A reliable current habit becomes an anchor, so the new response is cued by an action that already happens. Why it matters: The existing routine supplies a repeated cue without requiring a new time signal. Use it when an existing routine is more dependable than a clock or isolated reminder. Apply it by Choose a stable anchor and add a small, observable response that will not overload the sequence. Watch for this failure: An anchor that varies or happens too infrequently cannot provide reliable repeated cues.<br><br><b>Re-teach</b><br>The existing routine supplies a repeated cue without requiring a new time signal. Use it when an existing routine is more dependable than a clock or isolated reminder. An anchor that varies or happens too infrequently cannot provide reliable repeated cues.<br><br><b>Example</b><br>The formula “After [current habit], I will [new behavior]” makes the link explicit.<br><br><b>Remember</b><br>Habit stacking uses an existing behavior as the cue; implementation intention uses time and place.<br><br><b>Connections</b><br>Related ideas: implementation-intention, cues.<br><br><span class="source">Source</span><br>Chapter 5 — The Best Way to Start a New Habit (ch05)	atomic-habits atomic-habits::ch05 atomic-habits::concept::habit-stacking atomic-habits::type::mechanism atomic-habits::tier::core
atomic-habits::habit-tracking-recovery::concept::01	What does the book mean by “Habit Tracking and Never Miss Twice” and why does it matter?	<b>Answer</b><br>Definition: A habit tracker makes repetitions visible, while “never miss twice” treats one lapse as a prompt to return at the next opportunity. Why it matters: Visible evidence supplies immediate feedback and the recovery rule prevents one disruption from becoming a new pattern. Mechanism: Recording completion closes the feedback gap; returning quickly protects continuity without requiring a perfect streak. Use it when progress is invisible or a missed repetition is becoming an excuse to abandon the routine. Apply it by Record immediately after the meaningful behavior, use the record as a proxy rather than the purpose, and resume after one miss.<br><br><b>Re-teach</b><br>Visible evidence supplies immediate feedback and the recovery rule prevents one disruption from becoming a new pattern. Recording completion closes the feedback gap; returning quickly protects continuity without requiring a perfect streak.<br><br><b>Example</b><br>A paper clip moved after each sales call makes an otherwise invisible repetition visible.<br><br><b>Remember</b><br>Tracking measures repetitions; review must still check whether the measure represents meaningful progress.<br><br><b>Connections</b><br>Related ideas: immediate-satisfaction, identity-based-change.<br><br><span class="source">Source</span><br>Chapter 16 — How to Stick with Good Habits Every Day (ch16)	atomic-habits atomic-habits::ch16 atomic-habits::concept::habit-tracking-recovery atomic-habits::type::concept atomic-habits::tier::core
atomic-habits::habit-tracking-recovery::mechanism::01	Why does “Habit Tracking and Never Miss Twice” work in the book’s model?	<b>Answer</b><br>Mechanism: Recording completion closes the feedback gap; returning quickly protects continuity without requiring a perfect streak. Why it matters: Visible evidence supplies immediate feedback and the recovery rule prevents one disruption from becoming a new pattern. Use it when progress is invisible or a missed repetition is becoming an excuse to abandon the routine. Apply it by Record immediately after the meaningful behavior, use the record as a proxy rather than the purpose, and resume after one miss. Watch for this failure: Protecting a streak can turn the proxy into the target while quality or the real outcome declines.<br><br><b>Re-teach</b><br>Visible evidence supplies immediate feedback and the recovery rule prevents one disruption from becoming a new pattern. Use it when progress is invisible or a missed repetition is becoming an excuse to abandon the routine. Protecting a streak can turn the proxy into the target while quality or the real outcome declines.<br><br><b>Example</b><br>A paper clip moved after each sales call makes an otherwise invisible repetition visible.<br><br><b>Remember</b><br>Tracking measures repetitions; review must still check whether the measure represents meaningful progress.<br><br><b>Connections</b><br>Related ideas: immediate-satisfaction, identity-based-change.<br><br><span class="source">Source</span><br>Chapter 16 — How to Stick with Good Habits Every Day (ch16)	atomic-habits atomic-habits::ch16 atomic-habits::concept::habit-tracking-recovery atomic-habits::type::mechanism atomic-habits::tier::core
atomic-habits::habits-scorecard::concept::01	What does the book mean by “Habits Scorecard” and why does it matter?	<b>Answer</b><br>Definition: The Habits Scorecard lists ordinary actions and marks them helpful, harmful, or neutral relative to the current aim. Why it matters: Automatic behavior is difficult to redesign until the actual sequence is visible. Mechanism: Neutral, observable descriptions reveal cues and responses without turning observation into a judgement about character. Use it before changing a consequential routine whose first cue or automatic step is unclear. Apply it by Record the ordinary sequence, describe actions plainly, and choose one intervention point rather than auditing everything forever.<br><br><b>Re-teach</b><br>Automatic behavior is difficult to redesign until the actual sequence is visible. Neutral, observable descriptions reveal cues and responses without turning observation into a judgement about character.<br><br><b>Example</b><br>“Check messages” identifies an action to redesign; “be unproductive” does not identify a cue or response.<br><br><b>Remember</b><br>Awareness makes the loop visible; it is a prerequisite for redesign, not the redesign itself.<br><br><b>Connections</b><br>Related ideas: pointing-and-calling, habit-loop.<br><br><span class="source">Source</span><br>Chapter 4 — The Man Who Didn’t Look Right (ch04)	atomic-habits atomic-habits::ch04 atomic-habits::concept::habits-scorecard atomic-habits::type::concept atomic-habits::tier::important
atomic-habits::identity-based-change::concept::01	What does the book mean by “Identity-Based Change” and why does it matter?	<b>Answer</b><br>Definition: Identity-based change uses repeated behavior as evidence for the kind of person someone is becoming. Why it matters: An identity can make a small action feel coherent and worthwhile before the desired outcome is visible. Mechanism: Behavior supplies evidence for identity, while identity influences which actions feel natural; repeated votes gradually update self-belief. Use it when outcome goals feel abstract or a lapse is being treated as proof of a fixed character. Apply it by Complete “I am becoming someone who…”, choose a small observable vote, and return to the next vote after a lapse.<br><br><b>Re-teach</b><br>An identity can make a small action feel coherent and worthwhile before the desired outcome is visible. Behavior supplies evidence for identity, while identity influences which actions feel natural; repeated votes gradually update self-belief.<br><br><b>Example</b><br>“Become a reader” becomes opening the book and reading one page: a small behavior that provides evidence without pretending to prove the identity completely.<br><br><b>Remember</b><br>Identity is a direction for practice, not a status label that one action must prove.<br><br><b>Connections</b><br>Related ideas: compounding-systems, never-miss-twice.<br><br><span class="source">Source</span><br>Chapter 2 — How Your Habits Shape Your Identity (and Vice Versa) (ch02)	atomic-habits atomic-habits::ch02 atomic-habits::concept::identity-based-change atomic-habits::type::concept atomic-habits::tier::core
atomic-habits::identity-based-change::mechanism::01	Why does “Identity-Based Change” work in the book’s model?	<b>Answer</b><br>Mechanism: Behavior supplies evidence for identity, while identity influences which actions feel natural; repeated votes gradually update self-belief. Why it matters: An identity can make a small action feel coherent and worthwhile before the desired outcome is visible. Use it when outcome goals feel abstract or a lapse is being treated as proof of a fixed character. Apply it by Complete “I am becoming someone who…”, choose a small observable vote, and return to the next vote after a lapse. Watch for this failure: A rigid label turns a useful direction into a restriction, while perfectionism treats one miss as a verdict.<br><br><b>Re-teach</b><br>An identity can make a small action feel coherent and worthwhile before the desired outcome is visible. Use it when outcome goals feel abstract or a lapse is being treated as proof of a fixed character. A rigid label turns a useful direction into a restriction, while perfectionism treats one miss as a verdict.<br><br><b>Example</b><br>“Become a reader” becomes opening the book and reading one page: a small behavior that provides evidence without pretending to prove the identity completely.<br><br><b>Remember</b><br>Identity is a direction for practice, not a status label that one action must prove.<br><br><b>Connections</b><br>Related ideas: compounding-systems, never-miss-twice.<br><br><span class="source">Source</span><br>Chapter 2 — How Your Habits Shape Your Identity (and Vice Versa) (ch02)	atomic-habits atomic-habits::ch02 atomic-habits::concept::identity-based-change atomic-habits::type::mechanism atomic-habits::tier::core
atomic-habits::immediate-satisfaction::concept::01	What does the book mean by “Immediate Satisfaction” and why does it matter?	<b>Answer</b><br>Definition: Immediate satisfaction is feedback delivered after a behavior so the brain learns that the response was worth repeating. Why it matters: Many valuable habits have delayed benefits, while repetition is influenced by what happens now. Mechanism: A checkmark, pleasant experience, or visible progress closes the gap between action and distant outcome. Use it when the desired result is delayed and the behavior needs a present signal to compete with immediate alternatives. Apply it by Add a simple, immediate, repeatable signal that confirms completion without undermining the larger aim.<br><br><b>Re-teach</b><br>Many valuable habits have delayed benefits, while repetition is influenced by what happens now. A checkmark, pleasant experience, or visible progress closes the gap between action and distant outcome.<br><br><b>Example</b><br>Pleasant-smelling, foaming soap made handwashing more satisfying while the health benefit remained delayed.<br><br><b>Remember</b><br>Immediate satisfaction reinforces the response now; a long-term outcome may remain the reason the behavior matters.<br><br><b>Connections</b><br>Related ideas: habit-tracking-recovery, temptation-bundling.<br><br><span class="source">Source</span><br>Chapter 15 — The Cardinal Rule of Behavior Change (ch15)	atomic-habits atomic-habits::ch15 atomic-habits::concept::immediate-satisfaction atomic-habits::type::concept atomic-habits::tier::core
