Front	Back	Tags
How do the Four Laws map onto the habit loop?	Make the cue obvious, the craving attractive, the response easy, and the reward satisfying. To weaken an unwanted habit, invert those levers: make the cue invisible, the outcome unattractive, the response difficult, and the consequence unsatisfying. Source: ch03 — How to Build Better Habits in 4 Simple Steps.	atomic-habits::ch03::concept atomic-habits::four-laws
Why must immediate reward be distinguished from long-term outcome?	The immediate reward is what the brain learns from first, while the desired or undesired outcome may arrive much later. A habit can therefore persist despite a bad downstream result when the response delivers relief, stimulation, or convenience immediately. Source: ch03 — How to Build Better Habits in 4 Simple Steps.	atomic-habits::ch03::mechanism atomic-habits::reward
How do you diagnose a habit before prescribing a solution?	Ask what starts it, what state the person expects, what response is easy enough, and what immediate payoff reinforces it. Then change the weakest link with the smallest testable environmental or sequence redesign instead of adding generic motivation. Source: ch03 — How to Build Better Habits in 4 Simple Steps.	atomic-habits::ch03::procedure atomic-habits::diagnosis
What is the correct use of the Four Laws for a bad habit?	Do not create a separate moral theory for bad habits; invert the same loop. Hide the cue, make the outcome unattractive, add friction to the response, and make the consequence immediate enough to compete with the short-term reward. Source: ch03 — How to Build Better Habits in 4 Simple Steps.	atomic-habits::ch03::application atomic-habits::bad-habits
Why is a habit loop not a moral judgment?	The loop describes a learned solution to a recurring problem, including the cues and rewards that make it repeat. Describing the mechanism creates an intervention point and makes it possible to redesign the context without turning the person into the problem. Source: ch03 — How to Build Better Habits in 4 Simple Steps.	atomic-habits::ch03::contrast atomic-habits::diagnosis
Why can automaticity be both useful and dangerous?	Practice lets the brain recognize cues and execute familiar responses with less conscious effort, which saves energy. The same automaticity can hide the sequence that produced a result, so a behavior needing change must first be made visible. Source: ch04 — The Man Who Didn’t Look Right.	atomic-habits::ch04::mechanism atomic-habits::awareness
What is the Habits Scorecard for?	List the ordinary sequence of actions in a day and mark each helpful, harmful, or neutral relative to the current aim. It is an observation tool, not a character verdict, and it reveals where a consequential pattern can be redesigned. Source: ch04 — The Man Who Didn’t Look Right.	atomic-habits::ch04::procedure atomic-habits::scorecard
What does Pointing-and-Calling change in a habit loop?	It names the action and its consequence out loud or in writing before the response occurs. Verbalizing an automatic choice inserts a pause between cue and response, making the pattern observable long enough to choose an intervention. Source: ch04 — The Man Who Didn’t Look Right.	atomic-habits::ch04::mechanism atomic-habits::pointing-and-calling
Why should a scorecard use ordinary descriptions instead of judgments?	“Check messages” or “put off the task” identifies an observable action, while “be unproductive” gives no cue or response to redesign. Neutral descriptions preserve agency and produce a testable design problem rather than shame. Source: ch04 — The Man Who Didn’t Look Right.	atomic-habits::ch04::contrast atomic-habits::awareness
What is the main pitfall of turning awareness into surveillance?	A permanent audit can make observation burdensome and self-critical, reducing the honesty needed to see the real loop. Record enough cue, action, and payoff information to find one intervention point, then redesign rather than prosecuting every movement. Source: ch04 — The Man Who Didn’t Look Right.	atomic-habits::ch04::failure-mode atomic-habits::scorecard
What is an implementation intention?	It is a behavior plan tied to a specific time and location: “I will [behavior] at [time] in [location].” It replaces “later” with a cue that can be noticed and tested; the blank should name the first observable action, not a broad aspiration. Source: ch05 — The Best Way to Start a New Habit.	atomic-habits::ch05::concept atomic-habits::implementation-intention
What is habit stacking?	Habit stacking attaches a new behavior to an existing habit: “After [current habit], I will [new behavior].” The anchor supplies a repeated cue, so it must occur reliably and the added behavior should be small enough not to overload the sequence. Source: ch05 — The Best Way to Start a New Habit.	atomic-habits::ch05::concept atomic-habits::habit-stacking
When should you use an implementation intention versus a habit stack?	Use a time-and-place intention when the clock or location is stable; use a stack when an existing routine is a more reliable anchor than the clock. If the anchor varies, replace it with a dependable event or create more than one acceptable cue. Source: ch05 — The Best Way to Start a New Habit.	atomic-habits::ch05::contrast atomic-habits::cues
Why should the first action in a cue plan be observable?	“Open the notebook and write one sentence” specifies a response and stopping point, while “work on my project” leaves both undefined. Observability makes the cue–response link testable and reveals whether the problem is starting, duration, or quality. Source: ch05 — The Best Way to Start a New Habit.	atomic-habits::ch05::mechanism atomic-habits::implementation-intention
How do you test whether a cue is reliable?	Use it for several repetitions and check whether the time, place, or anchor actually occurs close to the desired behavior. If the cue is missed for reasons unrelated to the behavior, replace it rather than treating the plan's failure as a character problem. Source: ch05 — The Best Way to Start a New Habit.	atomic-habits::ch05::procedure atomic-habits::review
What makes a habit stack fail before the new behavior is considered?	The supposed anchor is too variable, such as “after I feel ready,” or it happens too infrequently to provide repeated cues. Choose a stable current habit or use a specific time-and-place intention, then keep the first response genuinely small. Source: ch05 — The Best Way to Start a New Habit.	atomic-habits::ch05::failure-mode atomic-habits::habit-stacking
How does environment design change behavior before willpower is needed?	Repeated actions become associated with rooms, objects, times, and situations, so the context can carry part of the memory and motivation. Making the desired cue visible and ready changes what is noticed and reached for before the user must negotiate with competing impulses. Source: ch06 — Motivation Is Overrated; Environment Often Matters More.	atomic-habits::ch06::mechanism atomic-habits::environment
What is a practical way to make a desired habit obvious in the environment?	Put the tool or cue directly in the path of the next routine, such as a book on the pillow, an instrument along the evening route, or prepared ingredients at eye level. Pair the visible cue with a clear minimum response so the user does not need to remember a second instruction. Source: ch06 — Motivation Is Overrated; Environment Often Matters More.	atomic-habits::ch06::application atomic-habits::environment-design
Why can assigning activities to different locations help?	Places acquire behavioral meanings through repeated associations. Giving focused work, rest, or exercise clearer locations can reduce cue competition and make the next response more predictable. Source: ch06 — Motivation Is Overrated; Environment Often Matters More.	atomic-habits::ch06::mechanism atomic-habits::context
When is changing the setting better than fighting an old cue?	If the current context is saturated with an unwanted routine, a temporary fresh setting can loosen the old association while a replacement habit is built. This is a context intervention, not a claim that the environment determines behavior completely. Source: ch06 — Motivation Is Overrated; Environment Often Matters More.	atomic-habits::ch06::decision atomic-habits::environment
Why is rearranging objects alone not enough?	An object can be visible yet fail to cue action if the response is vague, difficult, or disconnected from a real routine. Clarify which behavior the object should cue, make the first step easy, and judge the setup by whether it changes the next decision. Source: ch06 — Motivation Is Overrated; Environment Often Matters More.	atomic-habits::ch06::failure-mode atomic-habits::environment-design
What is the most reliable form of self-control in the book's framework?	Often it is reducing exposure to the cue rather than repeatedly resisting it. One environmental change can remove many future decisions before attention and craving are captured, while agency is spent on designing defaults. Source: ch07 — The Secret to Self-Control.	atomic-habits::ch07::mechanism atomic-habits::self-control
How do you apply the inversion “make it invisible”?	Remove notifications, move tempting items, log out, change the route, or avoid the high-risk context while a replacement is being built. Choose the least disruptive intervention that meaningfully reduces cue exposure, then observe whether the behavior becomes less automatic. Source: ch07 — The Secret to Self-Control.	atomic-habits::ch07::procedure atomic-habits::inversion
Why should an unwanted habit be paired with a replacement response?	Removing a cue can reduce the old behavior but may leave the underlying need unsolved. A replacement at the same decision point gives the user another route to relief, stimulation, connection, certainty, or rest, making the redesign compete with the old loop. Source: ch07 — The Secret to Self-Control.	atomic-habits::ch07::mechanism atomic-habits::replacement
When is avoidance useful, and when can it become a problem?	Temporary avoidance is useful for breaking an automatic loop and reducing cue exposure while a replacement is built. It becomes too rigid when it prevents learning a safer response in contexts the user cannot avoid, so test the replacement under realistic conditions over time. Source: ch07 — The Secret to Self-Control.	atomic-habits::ch07::contrast atomic-habits::avoidance
Why is “be stronger” usually a weaker long-term design than changing the environment?	Repeated resistance forces the user to fight the same cues again and again, whereas a default change reduces the number of battles. Self-control still matters as a bridge, but the longer-term system should make the desired choice reliably available. Source: ch07 — The Secret to Self-Control.	atomic-habits::ch07::application atomic-habits::environment
Why does anticipation matter for making a habit attractive?	The expected change in state creates motivation before the reward arrives, and that near-term anticipation can compete with a delayed benefit. Make the desired behavior's opening experience more appealing without pretending that the longer-term purpose no longer matters. Source: ch08 — How to Make a Habit Irresistible.	atomic-habits::ch08::mechanism atomic-habits::craving
What is temptation bundling?	Temptation bundling pairs an action the user needs or wants to build with an action they enjoy. It brings a present reward closer to a useful behavior, but the bundle must be repeatable and should not let the enjoyable activity overwhelm the target. Source: ch08 — How to Make a Habit Irresistible.	atomic-habits::ch08::concept atomic-habits::temptation-bundling
How is a motivation ritual different from temptation bundling?	Bundling combines the target activity with an enjoyable activity, while a motivation ritual is a brief positive prelude associated with starting. Both improve attractiveness, but a ritual mainly conditions the transition into the behavior rather than making two activities simultaneous. Source: ch08 — How to Make a Habit Irresistible.	atomic-habits::ch08::contrast atomic-habits::motivation-ritual
How do you find the reward that a habit should address?	Ask what immediate state the person wants to change—such as relief, novelty, belonging, competence, or comfort—not only what distant outcome they name. Then choose a near-term reward compatible with the user's values and schedule, and test whether it increases the likelihood of the next repetition. Source: ch08 — How to Make a Habit Irresistible.	atomic-habits::ch08::procedure atomic-habits::reward
What makes “listen to a favorite podcast only while walking” a useful bundle?	The enjoyable element is contingent on beginning the desired behavior, so anticipation helps the user approach the walk. The rule is simple enough to repeat, but it must be adjusted if the podcast becomes the real activity and the walk becomes incidental. Source: ch08 — How to Make a Habit Irresistible.	atomic-habits::ch08::worked-example atomic-habits::temptation-bundling
What is the failure mode of an oversized reward?	If the reward is more compelling than the target behavior, the user may practice pursuing the reward rather than the desired habit. Simplify or rebalance the bundle, and check whether the target's minimum remains clear and sustainable when the reward is unavailable. Source: ch08 — How to Make a Habit Irresistible.	atomic-habits::ch08::failure-mode atomic-habits::rewards
Why do social groups shape habits so strongly?	People copy behaviors that are normal and rewarded in their groups, and belonging can outweigh private intention when the group expects something else. Social context changes which options feel attractive, embarrassing, admirable, or unnecessary. Source: ch09 — The Role of Family and Friends in Shaping Your Habits.	atomic-habits::ch09::mechanism atomic-habits::social-norms
What three social sources influence habit adoption?	Influence comes from close relationships, the wider group or tribe, and people with status. Look for which source currently models or rewards the behavior, then change the relevant relationship, community, or visible norm. Source: ch09 — The Role of Family and Friends in Shaping Your Habits.	atomic-habits::ch09::concept atomic-habits::social-norms
How should someone choose a community for a desired habit?	Find a group where the behavior is ordinary, attractive, and repeatedly encountered, with a realistic point of connection. Start with a small recurring contribution so participation itself becomes part of adopting the culture rather than trying to imitate an entire lifestyle at once. Source: ch09 — The Role of Family and Friends in Shaping Your Habits.	atomic-habits::ch09::application atomic-habits::community
What is a concrete alternative to asking for vague social encouragement?	Request a specific recurring support behavior, such as a scheduled practice session or a simple check-in. Specificity makes the social cue and evidence observable, while the relationship can remain supportive instead of becoming general pressure. Source: ch09 — The Role of Family and Friends in Shaping Your Habits.	atomic-habits::ch09::procedure atomic-habits::accountability
What boundary applies when using social proof?	Social proof should lower the psychological cost of starting, not pressure someone into an identity they do not want. Account for time, money, access, health, personality, and individual boundaries; a group can reward status performance rather than the underlying behavior. Source: ch09 — The Role of Family and Friends in Shaping Your Habits.	atomic-habits::ch09::failure-mode atomic-habits::social-norms
What is the difference between a surface craving and a deeper motive?	The surface craving names the immediate object or action, while the deeper motive is the state the person wants to change, such as stress, stimulation, connection, certainty, or rest. A replacement works only if it addresses the motive that makes the old response attractive. Source: ch10 — How to Find and Fix Causes of Your Bad Habits.	atomic-habits::ch10::contrast atomic-habits::craving
Why can a prediction drive a habit even when the actual outcome is bad?	The cue creates an expectation about the feeling the response will produce, and that prediction can influence choice before the person experiences the later cost. Compare the feeling before the behavior with the actual after-effect to expose where the expectation is misleading. Source: ch10 — How to Find and Fix Causes of Your Bad Habits.	atomic-habits::ch10::mechanism atomic-habits::prediction
How do you design a replacement for an unwanted habit?	Record the cue, expected benefit, response, and immediate payoff, then identify the underlying need. Choose an alternative available at the same moment that addresses that need with less downstream cost, and make its benefit visible enough to compete. Source: ch10 — How to Find and Fix Causes of Your Bad Habits.	atomic-habits::ch10::procedure atomic-habits::replacement
What does reframing an unwanted behavior do?	It makes the full trade-off more salient so that the immediate benefit is no longer the only part of the prediction. Reframing is not denial or exaggeration; it should accurately expose the cost of the unwanted response or the benefit of not doing it. Source: ch10 — How to Find and Fix Causes of Your Bad Habits.	atomic-habits::ch10::concept atomic-habits::reframing
What four questions help diagnose the cause of a bad habit?	Record the cue and feeling before the behavior; state the expected benefit and actual after-effect; reframe the response around its cost or the alternative's benefit; and pair the replacement with a positive feeling or ritual. This sequence targets the motive, not only the visible behavior. Source: ch10 — How to Find and Fix Causes of Your Bad Habits.	atomic-habits::ch10::procedure atomic-habits::diagnosis
Why can a technically healthy replacement fail?	If it is emotionally irrelevant to the underlying motive, it will not compete at the decisive moment. A replacement must be accessible and capable of changing the state the old behavior served, not merely approved in the abstract. Source: ch10 — How to Find and Fix Causes of Your Bad Habits.	atomic-habits::ch10::failure-mode atomic-habits::replacement
What turns a behavior into a habit: planning or repetition?	Repetition turns a behavior into a habit; planning can clarify the route but cannot provide the learning that comes from performing the action. Start with a version that can be repeated often enough to produce feedback, then let practice improve the design. Source: ch11 — Walk Slowly, but Never Backward.	atomic-habits::ch11::contrast atomic-habits::repetition
What did the photography-class example show?	Students assigned many photographs learned through experimentation and mistakes, while students asked for one perfect image spent more time theorizing. The example distinguishes action that produces feedback from planning that only feels productive. Source: ch11 — Walk Slowly, but Never Backward.	atomic-habits::ch11::worked-example atomic-habits::practice
Why can repetition count matter more than calendar time?	Automaticity grows through performances that strengthen the cue–response connection, not merely through elapsed days. A habit started weeks ago but performed rarely may be less learned than one practiced frequently over a shorter period. Source: ch11 — Walk Slowly, but Never Backward.	atomic-habits::ch11::mechanism atomic-habits::automaticity
What is the difference between motion and action?	Motion includes researching, organizing, or refining a plan; action is the behavior that changes the situation and produces feedback. Use the distinction to detect preparation that has become a substitute for practice. Source: ch11 — Walk Slowly, but Never Backward.	atomic-habits::ch11::contrast atomic-habits::motion
Why should a workable version be standardized before it is optimized?	Optimization requires something stable enough to compare, while an untested plan produces imagined obstacles rather than evidence. Repeat a good-enough version, observe the real bottleneck, and then change that bottleneck instead of adding general advice. Source: ch11 — Walk Slowly, but Never Backward.	atomic-habits::ch11::procedure atomic-habits::optimization
What should you do if a behavior is not repeating?	Shrink or simplify the action before adding more analysis. The aim is to create enough repetitions to reveal whether the cue, response, or environment is the actual bottleneck. Source: ch11 — Walk Slowly, but Never Backward.	atomic-habits::ch11::application atomic-habits::minimum
What is the Law of Least Effort?	People tend to choose the option requiring less work, especially when tired, rushed, or undecided. Treat convenience as a design variable: reduce friction for the behavior that serves the aim and add proportionate friction to the competing behavior. Source: ch12 — The Law of Least Effort.	atomic-habits::ch12::concept atomic-habits::least-effort
What counts as friction in a habit system?	Friction includes physical effort, number of steps, waiting, setup, and remembering what comes next. Small differences in these costs can determine which of two otherwise similar actions becomes the default. Source: ch12 — The Law of Least Effort.	atomic-habits::ch12::concept atomic-habits::friction
How does priming the environment reduce friction?	Prepare materials and choices before the opportunity arrives, such as resetting a room, setting out food or workout clothes, or leaving drawing tools ready. The preparation turns a future intention into an available response and improves many later repetitions. Source: ch12 — The Law of Least Effort.	atomic-habits::ch12::application atomic-habits::environment
What kind of friction change has leverage?	Prefer a one-time setup that improves many future repetitions, such as preparing a workspace, reducing clicks, changing a default, or pre-committing a choice. Add only enough barrier to the unwanted option to change the first choice without creating unreasonable burden. Source: ch12 — The Law of Least Effort.	atomic-habits::ch12::procedure atomic-habits::friction
How should you map friction before changing it?	Trace every step and decision between the cue and the response for both the desired and competing behavior. Remove or combine the highest-cost step for the desired action first, then add a modest barrier to the unwanted option and observe the next real decision. Source: ch12 — The Law of Least Effort.	atomic-habits::ch12::procedure atomic-habits::diagnosis
What is the danger of making a behavior easy without clarifying its value?	You can optimize a low-value distraction simply because it is convenient. Confirm that the target serves the chosen aim, and do not remove friction that protects safety, quality control, or deliberate choice. Source: ch12 — The Law of Least Effort.	atomic-habits::ch12::failure-mode atomic-habits::friction
What is the Two-Minute Rule really solving?	It reduces the activation cost of starting by shrinking a new habit to an action that takes about two minutes. It does not claim that a complex project can be completed in two minutes; duration, quality, and volume can be trained separately after initiation is stable. Source: ch13 — How to Stop Procrastinating by Using the Two-Minute Rule.	atomic-habits::ch13::concept atomic-habits::two-minute-rule
What is a gateway version of a habit?	It is the first visible, physical action that naturally leads into the larger routine, such as opening the document, putting on walking shoes, or reading one page. It counts as the habit while extra duration or effort remains optional until the start is reliable. Source: ch13 — How to Stop Procrastinating by Using the Two-Minute Rule.	atomic-habits::ch13::concept atomic-habits::gateway
What does Twyla Tharp's cab ride illustrate?	The morning cab ride was a small ritual that reliably began a much longer workout. It illustrates that routines often turn on a decisive opening moment, where a small choice sends the rest of the sequence toward action or avoidance. Source: ch13 — How to Stop Procrastinating by Using the Two-Minute Rule.	atomic-habits::ch13::worked-example atomic-habits::starting
How do you apply the Two-Minute Rule to a large project?	Write the full routine, identify its first visible action, shrink that action until it takes about two minutes, and repeat it at the chosen cue. Once starting is automatic, set a separate target for duration or depth; do not hide the entire project inside the gateway. Source: ch13 — How to Stop Procrastinating by Using the Two-Minute Rule.	atomic-habits::ch13::procedure atomic-habits::two-minute-rule
Why should the gateway remain available after a habit grows?	It provides a fallback for difficult days and keeps the cue connected to an action. Preserving the small start protects continuity while the full version can expand when conditions allow, rather than making the routine all-or-nothing. Source: ch13 — How to Stop Procrastinating by Using the Two-Minute Rule.	atomic-habits::ch13::application atomic-habits::recovery
What is the main failure mode after a few successful two-minute starts?	Expanding too quickly can make the cue predict pressure again and restore the original activation cost. Keep the gateway genuinely small, then increase scope gradually and separately from the commitment to begin. Source: ch13 — How to Stop Procrastinating by Using the Two-Minute Rule.	atomic-habits::ch13::failure-mode atomic-habits::two-minute-rule
What is a commitment device?	It is a present choice that makes a future behavior more likely by changing the later choice architecture. It can make the desired response easier, remove access to a temptation, schedule an action, or add a meaningful delay. Source: ch14 — How to Make Good Habits Inevitable and Bad Habits Impossible.	atomic-habits::ch14::concept atomic-habits::commitment-device
Why can a present restriction help a future self?	A restriction decided in advance changes the options available when immediate temptation is strongest. By removing a future choice or making the desired default automatic, it reduces reliance on daily willpower for a repeated decision. Source: ch14 — How to Make Good Habits Inevitable and Bad Habits Impossible.	atomic-habits::ch14::mechanism atomic-habits::precommitment
Which examples illustrate commitment devices?	Examples include Victor Hugo removing access to outdoor clothes to force writing, a router timer, smaller food packages, temporarily removing social media, automatic savings, and defaults. The shared mechanism is a one-time choice that changes many future decisions. Source: ch14 — How to Make Good Habits Inevitable and Bad Habits Impossible.	atomic-habits::ch14::worked-example atomic-habits::commitment-device
When is automation especially useful?	Use it for recurring actions whose long-term value is clear and where a one-time setup can improve many future choices. Review the default because automation can scale a bad decision as efficiently as a good one. Source: ch14 — How to Make Good Habits Inevitable and Bad Habits Impossible.	atomic-habits::ch14::decision atomic-habits::automation
How should a high-stakes commitment be designed?	Make it proportionate, understood in advance, and reversible where possible, with an escape or review point for health, money, safety, or important relationships. Estimate the downside if the default becomes wrong before removing flexibility. Source: ch14 — How to Make Good Habits Inevitable and Bad Habits Impossible.	atomic-habits::ch14::procedure atomic-habits::safety
What is the danger of an unsafe commitment device?	An irreversible or punitive device can create harmful rigidity and make a mistaken decision difficult to correct. Commitment should support a considered choice, not eliminate the user's ability to respond to new information or produce fear and shame. Source: ch14 — How to Make Good Habits Inevitable and Bad Habits Impossible.	atomic-habits::ch14::failure-mode atomic-habits::commitment-device
Why is immediate satisfaction the cardinal rule of behavior change?	Immediate feedback strongly influences repetition, while many valuable habits have delayed benefits. A design therefore needs a small present signal that confirms the behavior counted without sacrificing the longer-term result. Source: ch15 — The Cardinal Rule of Behavior Change.	atomic-habits::ch15::mechanism atomic-habits::immediate-reward
What does the handwashing example demonstrate?	Pleasant-smelling, foaming soap made a health-supporting behavior more satisfying in the moment even though the larger health benefit arrived later. The example shows how an immediate experience can help a delayed benefit compete for repetition. Source: ch15 — The Cardinal Rule of Behavior Change.	atomic-habits::ch15::worked-example atomic-habits::immediate-reward
What can count as an immediate signal of success?	A checkmark, acknowledgment, visible progress, or modest transfer into a meaningful category can confirm completion immediately. The signal should arrive after the response, be easy to repeat, and teach the brain that the desired action was worth doing again. Source: ch15 — The Cardinal Rule of Behavior Change.	atomic-habits::ch15::application atomic-habits::reinforcement
How can savings make avoiding an unwanted behavior satisfying?	Make the benefit of not acting visible by moving the avoided spending into a chosen category, such as a trip or purchase. The immediate visible progress supplies feedback for restraint while the larger reward remains delayed. Source: ch15 — The Cardinal Rule of Behavior Change.	atomic-habits::ch15::application atomic-habits::savings
What criteria should an immediate reward meet?	It should be immediate, simple, repeatable, proportionate, and aligned with the desired identity and outcome. Test whether it increases the likelihood of the next repetition rather than merely creating a pleasant moment. Source: ch15 — The Cardinal Rule of Behavior Change.	atomic-habits::ch15::procedure atomic-habits::reward
What is a contradictory reward system?	It rewards attendance with something that undermines the goal or becomes more attractive than the target behavior. Reduce the reward or tie it more closely to the desired purpose, and diagnose cue, effort, or craving before escalating incentives. Source: ch15 — The Cardinal Rule of Behavior Change.	atomic-habits::ch15::failure-mode atomic-habits::reinforcement
Why can visible progress make a habit easier to repeat?	A checkmark, count, or moved object closes the feedback gap between the behavior and its distant result. The visible record makes completion satisfying, but its value comes from useful immediate feedback rather than from treating an unbroken streak as morally important. Source: ch16 — How to Stick with Good Habits Every Day.	atomic-habits::ch16::mechanism atomic-habits::tracking
What does a habit tracker actually do?	It provides immediate evidence that a repetition happened and can support a streak, making an otherwise invisible process visible. It is a feedback tool and proxy, not the behavior's ultimate purpose. Source: ch16 — How to Stick with Good Habits Every Day.	atomic-habits::ch16::concept atomic-habits::habit-tracker
When should a habit be recorded?	Record it immediately after the meaningful behavior, such as moving one paper clip after each sales call. This links completion to its visible signal and avoids relying on memory or end-of-day reconstruction. Source: ch16 — How to Stick with Good Habits Every Day.	atomic-habits::ch16::procedure atomic-habits::tracking
How does “never miss twice” change the meaning of a lapse?	It treats one miss as a prompt to return at the next opportunity before the exception becomes a new pattern. The rule protects recovery and continuity without requiring a perfect streak or turning the lapse into an identity verdict. Source: ch16 — How to Stick with Good Habits Every Day.	atomic-habits::ch16::concept atomic-habits::never-miss-twice
How do you choose a useful tracking metric?	Choose a low-friction measure close enough to the behavior to record immediately and meaningful enough to inform a later decision. Review whether it remains a useful proxy for the real outcome; more of a metric is not automatically more progress. Source: ch16 — How to Stick with Good Habits Every Day.	atomic-habits::ch16::decision atomic-habits::measurement
What is the danger of protecting a streak?	The streak can become the target, causing the user to preserve visible activity while quality or the real outcome declines. Keep the record honest, use it for information and satisfaction, and redesign the system when the proxy no longer represents meaningful progress. Source: ch16 — How to Stick with Good Habits Every Day.	atomic-habits::ch16::failure-mode atomic-habits::tracking
What does an accountability partner add to a habit system?	The partner adds an immediate social cost to breaking a promise and makes the commitment visible in the present. Accountability also clarifies what will be done, what evidence counts, and when the result will be checked. Source: ch17 — How an Accountability Partner Can Change Everything.	atomic-habits::ch17::mechanism atomic-habits::accountability
Why does specificity make a habit contract stronger?	A specific contract names the behavior, evidence, check-in, and consequence before a lapse occurs. The book's Bryan Harris example shows that clear terms turn vague social pressure into an observable commitment. Source: ch17 — How an Accountability Partner Can Change Everything.	atomic-habits::ch17::worked-example atomic-habits::habit-contract
What should an accountability agreement contain?	Choose a reliable partner; define the smallest observable completion; set a predictable check-in; agree on a small immediate consequence; and decide how an honest miss triggers recovery or redesign. Make the terms consensual and proportionate. Source: ch17 — How an Accountability Partner Can Change Everything.	atomic-habits::ch17::procedure atomic-habits::habit-contract
Why should accountability include a recovery path?	A missed commitment should produce a useful conversation about the system rather than an all-or-nothing collapse. Recovery supports honesty and helps diagnose whether the cue, minimum, environment, or reward needs redesign. Source: ch17 — How an Accountability Partner Can Change Everything.	atomic-habits::ch17::application atomic-habits::recovery
